run_month,run_timestamp,run_id,metric,rank,package_name,value
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,1,KomaMRI.jl,79.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,2,DICOM.jl,58.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,3,PubChemCrawler.jl,50.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,4,OMOPCommonDataModel.jl,9.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,5,ITKIOWrapper.jl,8.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,6,OMOPCDMCohortCreator.jl,6.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,7,HealthSampleData.jl,3.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,8,MedImages.jl,2.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,9,NeuroAnalyzer.jl,2.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,10,BloodFlowTrixi.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,11,DICOMTree.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,12,HealthBase.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,13,MedEval3D.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,14,MedEye3d.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,monthly_downloads,15,MedPipe3D.jl,1.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,1,KomaMRI.jl,186.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,2,DICOM.jl,60.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,3,BloodFlowTrixi.jl,44.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,4,PubChemCrawler.jl,28.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,5,Thunderbolt.jl,23.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,6,NeuroAnalyzer.jl,19.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,7,BioMedQuery.jl,18.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,8,ICD_GEMs.jl,17.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,9,MedEye3d.jl,16.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,10,FHIRClient.jl,13.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,11,ARules.jl,12.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,12,OMOPCDMCohortCreator.jl,11.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,13,MedImages.jl,9.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,14,PubMedMiner.jl,9.0
2026-03,2026-03-02T02:37:17Z,22558920008,stars,15,MedPipe3D.jl,8.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,1,DICOM.jl,2739.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,2,KomaMRI.jl,2064.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,3,PubChemCrawler.jl,201.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,4,MedEye3d.jl,199.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,5,MedEval3D.jl,172.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,6,NeuroAnalyzer.jl,155.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,7,OMOPCDMCohortCreator.jl,135.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,8,ARules.jl,110.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,9,HealthBase.jl,82.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,10,HealthSampleData.jl,70.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,11,MedPipe3D.jl,70.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,12,ITKIOWrapper.jl,55.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,13,SMARTBackendServices.jl,55.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,14,FHIRClient.jl,46.0
2026-03,2026-03-02T02:37:17Z,22558920008,total_downloads,15,OMOPCommonDataModel.jl,45.0
