repo_name,github_repo_url,is_archived,has_license,license_type,pushed_at,stars,open_issues_count,closed_issues_count,issue_resolution_rate,open_prs_count,closed_prs_count,pr_resolution_rate,readme_has_code_blocks,readme_line_count,readme_has_install,readme_has_usage,readme_has_contributing,readme_lists_count,readme_links_count,readme_code_blocks_count,readme_badges_count,readme_sections_count,readme_completeness_score,human_contributors_list,human_contributors_count,bot_contributors_list,bot_contributors_count,maintainers_list,maintainers_count,active_maintainers_list,active_maintainers_count,has_active_maintainers,maintenance_status,has_ci_workflow,avg_pr_merge_days,days_since_last_activity
EpiJ,https://github.com/JuliaHealth/EpiJ,false,true,MIT,2022-01-27T21:41:16Z,2,0,0,0.0,0,0,0.0,false,10,false,false,false,0,8,0,4,1,2,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,true,,1461.0786859722223
JuliaHealthAudit,https://github.com/JuliaHealth/JuliaHealthAudit,false,true,MIT,2026-01-25T15:49:20Z,2,0,0,0.0,0,0,0.0,true,103,false,false,true,18,2,4,0,5,4,kosuri-indu,1,github-actions[bot],1,kosuri-indu,1,kosuri-indu,1,true,Concept,true,,0.6457519675925926
JuliaHealthEcosystemPaper,https://github.com/JuliaHealth/JuliaHealthEcosystemPaper,false,false,MIT,2025-11-27T03:40:29Z,1,0,0,0.0,0,0,0.0,false,50,false,true,false,19,3,0,0,5,3,TheCedarPrince,1,,0,TheCedarPrince,1,TheCedarPrince,1,true,Concept,false,,60.15599394675926
JuliaHealthLLM,https://github.com/JuliaHealth/JuliaHealthLLM,false,true,MIT,2025-12-19T01:14:33Z,4,3,0,0.0,32,4,11.1,true,46,false,false,false,2,13,2,5,2,3,ParamThakkar123; TheCedarPrince,2,,0,ParamThakkar123; TheCedarPrince,2,ParamThakkar123; TheCedarPrince,2,true,Concept,true,16.26323302469136,101.9072278125
JuliaHealthWebsiteOld,https://github.com/JuliaHealth/JuliaHealthWebsiteOld,false,false,Unknown,2025-05-16T20:11:29Z,15,13,5,27.8,2,111,98.2,false,9,false,false,false,0,3,0,0,0,0,DilumAluthge; TheCedarPrince; pitmonticone; ChrisRackauckas; Hetarth02; logankilpatrick,6,,0,Hetarth02; TheCedarPrince,2,,0,false,Concept,true,0.24758986928104576,254.46517756944445
JuliaHealthZoo,https://github.com/JuliaHealth/JuliaHealthZoo,false,false,Unknown,2025-09-04T16:21:29Z,0,3,0,0.0,0,0,0.0,false,0,false,false,false,0,0,0,0,0,0,,0,,0,,0,,0,false,Concept,false,,
MedPipe3DTutorial,https://github.com/JuliaHealth/MedPipe3DTutorial,false,false,Unknown,2024-03-12T18:16:23Z,9,0,2,100.0,0,2,100.0,true,571,false,false,false,0,7,17,0,1,2,jakubMitura14,1,,0,jakubMitura14,1,,0,false,Concept,false,0.0178125,684.5447797453704
OMOPCDMMetrics,https://github.com/JuliaHealth/OMOPCDMMetrics,false,true,MIT,2024-08-22T02:01:27Z,1,0,0,0.0,5,0,0.0,false,12,false,false,false,0,10,0,5,1,2,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,true,,703.4198994097222
OMOPCDMPredictor,https://github.com/JuliaHealth/OMOPCDMPredictor,false,true,MIT,2023-03-20T00:22:57Z,4,0,0,0.0,0,0,0.0,false,9,false,false,false,1,1,0,0,0,0,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,false,,1043.2904761689815
ObservationalHealthSubecosystemPaper,https://github.com/JuliaHealth/ObservationalHealthSubecosystemPaper,false,false,Unknown,2024-01-17T06:07:31Z,2,0,0,0.0,0,0,0.0,false,0,false,false,false,0,0,0,0,0,0,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,false,,740.0551376736111
juliahealth.github.io,https://github.com/JuliaHealth/juliahealth.github.io,false,false,Unknown,2026-01-24T18:08:57Z,6,19,5,20.8,4,47,92.2,true,28,false,false,false,0,0,1,0,0,0,divital-coder; TheCedarPrince; Hetarth02; kosuri-indu; Jay-sanjay; JanZubik; 00krishna; MichelaRocchetti; Mounika-Thakkallapally; rkierulf,10,,0,Hetarth02; Jay-sanjay; TheCedarPrince; divital-coder; kosuri-indu,5,Hetarth02; divital-coder; kosuri-indu,3,true,Concept,false,12.99732428451179,1.5504408449074074
juliahealth.github.io-previews,https://github.com/JuliaHealth/juliahealth.github.io-previews,false,false,Unknown,2024-03-25T19:02:23Z,0,0,0,0.0,0,1,100.0,false,2,false,false,false,0,1,0,0,0,0,DilumAluthge,1,,0,DilumAluthge,1,,0,false,Concept,false,5.787037037037037e-5,2094.9730602546297
