repo_name,github_repo_url
EpiJ,https://github.com/JuliaHealth/EpiJ
JuliaHealthAudit,https://github.com/JuliaHealth/JuliaHealthAudit
JuliaHealthEcosystemPaper,https://github.com/JuliaHealth/JuliaHealthEcosystemPaper
JuliaHealthLLM,https://github.com/JuliaHealth/JuliaHealthLLM
JuliaHealthWebsiteOld,https://github.com/JuliaHealth/JuliaHealthWebsiteOld
JuliaHealthZoo,https://github.com/JuliaHealth/JuliaHealthZoo
MedPipe3DTutorial,https://github.com/JuliaHealth/MedPipe3DTutorial
OMOPCDMMetrics,https://github.com/JuliaHealth/OMOPCDMMetrics
OMOPCDMPredictor,https://github.com/JuliaHealth/OMOPCDMPredictor
ObservationalHealthSubecosystemPaper,https://github.com/JuliaHealth/ObservationalHealthSubecosystemPaper
juliahealth.github.io,https://github.com/JuliaHealth/juliahealth.github.io
juliahealth.github.io-previews,https://github.com/JuliaHealth/juliahealth.github.io-previews
