package_name,registry_path,registry_repo_url,url_matches_juliahealth
ARules,A/ARules,https://github.com/JuliaHealth/ARules.jl.git,true
BioMedQuery,B/BioMedQuery,https://github.com/JuliaHealth/BioMedQuery.jl.git,true
BlindingIndex,B/BlindingIndex,https://codeberg.org/AdamWysokinski/BlindingIndex.jl,false
BloodFlowTrixi,B/BloodFlowTrixi,https://github.com/JuliaHealth/BloodFlowTrixi.jl.git,true
CAOS,C/CAOS,https://github.com/JuliaHealth/CAOS.jl.git,true
DICOM,D/DICOM,https://github.com/JuliaHealth/DICOM.jl.git,true
DICOMClient,D/DICOMClient,https://github.com/JuliaHealth/DICOMClient.jl.git,true
DICOMTree,D/DICOMTree,https://github.com/fdekerme/DICOMTree.jl.git,false
DateShifting,D/DateShifting,https://github.com/JuliaHealth/DateShifting.jl.git,true
DiagnosisClassification,D/DiagnosisClassification,https://github.com/JuliaHealth/DiagnosisClassification.jl.git,true
EHRAuthentication,E/EHRAuthentication,https://github.com/JuliaHealth/EHRAuthentication.jl.git,true
FHIRClient,F/FHIRClient,https://github.com/JuliaHealth/FHIRClient.jl.git,true
FHIRClientJSON,F/FHIRClientJSON,https://github.com/JuliaHealth/FHIRClientJSON.jl.git,true
FHIRClientXML,F/FHIRClientXML,https://github.com/JuliaHealth/FHIRClientXML.jl.git,true
HealthBase,H/HealthBase,https://github.com/JuliaHealth/HealthBase.jl.git,true
HealthMLBase,H/HealthMLBase,https://github.com/JuliaHealth/HealthMLBase.jl.git,true
HealthSampleData,H/HealthSampleData,https://github.com/JuliaHealth/HealthSampleData.jl.git,true
ICD_GEMs,I/ICD_GEMs,https://github.com/JuliaHealth/ICD_GEMs.jl.git,true
ITKIOWrapper,I/ITKIOWrapper,https://github.com/JuliaHealth/ITKIOWrapper.jl.git,true
KomaMRI,K/KomaMRI,https://github.com/JuliaHealth/KomaMRI.jl.git,true
MedEval3D,M/MedEval3D,https://github.com/jakubMitura14/MedEval3D.jl.git,false
MedEye3d,M/MedEye3d,https://github.com/JuliaHealth/MedEye3d.jl.git,true
MedImages,M/MedImages,https://github.com/JuliaHealth/MedImages.jl.git,true
MedPipe3D,M/MedPipe3D,https://github.com/jakubMitura14/MedPipe3D.jl.git,false
NCEI,N/NCEI,https://github.com/Nosferican/NCEI.jl.git,false
NeuroAnalyzer,N/NeuroAnalyzer,https://codeberg.org/AdamWysokinski/NeuroAnalyzer.jl,false
OMOPCDMCohortCreator,O/OMOPCDMCohortCreator,https://github.com/JuliaHealth/OMOPCDMCohortCreator.jl.git,true
OMOPCDMDatabaseConnector,O/OMOPCDMDatabaseConnector,https://github.com/JuliaHealth/OMOPCDMDatabaseConnector.jl.git,true
OMOPCommonDataModel,O/OMOPCommonDataModel,https://github.com/JuliaHealth/OMOPCommonDataModel.jl.git,true
OMOPVocabMapper,O/OMOPVocabMapper,https://github.com/bcbi/OMOPVocabMapper.jl.git,false
PharmaceuticalClassification,P/PharmaceuticalClassification,https://github.com/JuliaHealth/PharmaceuticalClassification.jl.git,true
PubChemCrawler,P/PubChemCrawler,https://github.com/JuliaHealth/PubChemCrawler.jl.git,true
SMARTAppLaunch,S/SMARTAppLaunch,https://github.com/JuliaHealth/SMARTAppLaunch.jl.git,true
SMARTBackendServices,S/SMARTBackendServices,https://github.com/JuliaHealth/SMARTBackendServices.jl.git,true
